MgO,Pd,Pd/Pt,MSS Cu,Fluid Cu
0.16553749,0.574821007,1.448095229,0.994755593,0.004366155
0.165540447,0.002117295,0.639703268,0.998030309,0.001984348
0.16554121,1.019842918,3.152682482,0.9830905,0.016499486
0.165541474,86.13324412,18.19288371,0,0.887101917
0.165549941,0.312057337,0.784263552,0.988167051,0.011366197
0.165550152,1.332714864,1.432312513,0.96934562,0.030373927
0.165595088,0.200328908,0.485622687,0.965934863,0.033868643
0.165610386,82.34998448,13.84565798,0,0.739365097
0.16562097,0.005482724,0.840743625,0.997666772,0.00234573
0.165648871,0.000607494,0.041602255,0.997352232,0.002662865
0.165652596,0.000336809,0.023617587,0.997631937,0.002384731
0.165658425,0.000253743,0.035108525,0.999311118,0.000701744
0.165665867,0.001769077,0.106252357,0.998816493,1.20E-03
0.165679048,0.26189552,0.906822525,0.979833338,1.91E-02
0.165693148,0.015327849,1.929332353,0.993449096,0.006556149
0.16570521,1.767805594,1.862879528,0.973664359,0.025335649
0.165710557,0.001224224,0.112038606,0.999598673,0.000401211
0.165720416,0.016506223,0.037941133,0.990488353,0.007777986
0.165750313,0.035601424,0.104905162,0.936761008,0.061341539
0.165751037,0.000424038,0.036346246,0.997738317,0.002280439
0.165752726,0.003592217,0.225682383,0.99954833,0.000315014
0.165756266,0.001566158,0.165400832,0.999858458,0.000121007
0.165760076,0.454629909,1.626971535,0.99303109,0.006616557
0.165760141,0.00192464,0.315500532,0.998009298,0.001979044
0.165775952,1.78311939,1.678342435,0.983878672,0.015628141
0.165803069,0.011076795,0.445626163,0.999275388,0.000421906
0.165879301,0.66419869,0.51714821,0.981418419,0.017892853
0.165880231,0.287293091,0.281900249,0.93812448,0.061229053
0.165883631,0.009740559,0.078120195,0.996671582,0.003004108
0.165925648,0.223172434,0.833073343,0.939883279,0.059404348
0.165953099,0.001651377,0.173343167,0.999877486,0.000126044
0.165956911,0.009475692,0.143937219,0.998497301,0.001189255
0.165962233,0.950837157,1.489046208,0.977413624,0.022228413
0.165975632,0.041893864,0.059070154,0.925829242,0.073157894
0.16598413,0.001253309,0.099954409,0.999480076,0.000467592
0.165984776,0.276045796,0.571754254,0.996599158,0.003164172
0.165990551,0.005742602,0.227100437,0.995618377,0.004258389
0.165992412,0.126602448,6.33596925,0.99566745,0.004139162
0.166011791,1.026692078,1.413854843,0.98119549,0.017885041
0.166028652,40.08596321,42.4540497,0,0.979374736
0.16603768,1.270176342,1.453749689,0.978109589,0.021599117
0.166051365,36.26711221,23.30000807,0,0.972414113
0.16605183,0.00226088,0.151782319,0.999243123,0.000733052
0.166058486,0.19853146,0.101537092,0.972874875,0.026031679
0.166063254,0.424313134,2.306493493,0.990525822,0.009249129
0.166074348,0.004615091,0.310838656,0.997723358,0.002261075
0.166076885,0.953956112,1.288399619,0.979502988,0.019478013
0.166087637,0.000996462,0.202899294,0.998243266,0.001763122
0.166121093,0.003535545,0.21540135,0.998941899,1.02E-03
0.166122315,0.002541653,0.020226792,0.999703804,0.000260556
0.166137677,0.001530212,0.083797773,0.999529334,0.000476331
0.166148858,0.003289556,0.0531636,0.998604248,0.001397376
0.16615451,0.182863022,0.458581147,0.99170835,8.08E-03
0.166175975,0.006452625,0.262876695,0.995969918,0.004050814
0.166177334,65.53150129,67.8343809,0,0.992304681
0.166186027,0.011449488,1.353920133,0.996476633,0.003521175
0.166191844,0.17880922,0.741704336,0.980684703,0.018388098
0.166192768,0.056634137,0.105881649,0.929682527,0.068395079
0.166196048,0.007550609,0.459180917,0.994039075,0.005963011
0.166215917,0.008509338,0.23345615,0.998472209,0.001410749
0.166218871,0.012338341,0.017146894,0.993122265,0.005300709
0.166245092,0.000662316,0.06793254,0.998811022,0.001186431
0.166251824,0.000456111,0.124104866,0.999431958,0.000578089
0.16625187,0.000783619,0.181985045,0.999791295,0.000213136
0.166254681,0.000964895,0.00390568,0.999917852,1.68E-05
0.166267294,45.70780468,51.53552999,0,0.99328737
0.166270725,0.026834934,0.080990453,0.94192232,0.057038305
0.1662845,0.003952413,0.101011916,0.990742525,0.009192303
0.16628714,0.235208152,0.192148778,0.963047428,0.034307644
0.166293351,53.7859027,50.07287102,0,0.888300939
0.166298043,47.90834705,31.87786961,0,0.70206484
0.166306265,0.009070455,0.377528465,0.985656017,0.014230006
0.166337322,0.162483863,0.269842191,0.995911049,0.003631893
0.166338739,0.034297588,0.10205571,0.935825814,0.063451737
0.166360402,0.014234433,0.025275442,0.968751671,0.02901796
0.166365132,0.086261988,0.446289508,0.943615411,0.055608113
0.166368862,72.99118887,10.75796993,0,0.903354386
0.166386335,0.002232389,0.274473723,0.998190798,0.00182538
0.166386501,0.535324813,1.134717801,0.990424674,0.008481941
0.166402111,0.008244292,0.080255014,0.999716034,0.000179802
0.166403136,1.143051619,1.193300157,0.988363954,0.010790803
0.166415806,0.174035186,0.367285733,0.980771794,0.017243351
0.166425003,0.006996706,0.746240655,0.996883131,0.003138204
0.166440472,0.049724596,0.256851458,0.996303343,0.002405682
0.166443322,0.925960128,2.614506533,0.995305856,0.004314402
0.166454846,0.001537177,0.204639252,0.999346233,0.000662861
0.16646396,0.001838218,0.106274917,0.994854772,5.11E-03
0.166464346,1.636675277,1.907367266,0.989144119,0.010484468
0.166466452,0.000548172,0.069393225,0.995543273,0.004451406
0.166474912,0.06118747,0.114644255,0.9632016,0.03391999
0.166494161,0.214617969,0.299896983,0.98096457,0.017214432
0.166496345,0.001294108,0.235692708,0.999974018,3.47E-05
0.166507958,0.089634809,1.375460775,0.994451939,5.49E-03
0.166511897,0.001588071,0.013095874,0.991090008,0.008757927
0.16651617,0.001715491,0.073662621,0.999922154,5.46E-05
0.16652891,0.00172714,0.299434135,0.998083732,0.001935597
0.16652911,0.168417569,0.519957546,0.996844695,0.002870531
0.166539524,0.00129043,0.292270912,0.998278714,0.001730041
0.166558509,75.88922644,68.19210836,0,0.990365883
0.16657034,0.001773377,0.273070823,0.999294241,7.31E-04
0.166601891,0.024409002,0.824916852,0.988958791,0.01090835
0.166605971,0.000786485,0.096853612,0.999277223,0.000706637
0.166610599,0.001189237,0.410552437,0.999516777,0.000490362
0.166610866,0.002886947,0.475902214,0.999538262,4.70E-04
0.166620454,0.001137072,0.117059863,0.997641585,0.002372617
0.166633934,0.065935987,0.129972716,0.900462993,0.098450174
0.166634198,74.40791323,45.75473113,0,0.927236194
0.166636555,1.318700479,2.476926588,0.986296677,0.012547974
0.166641259,0.00210452,0.068681794,0.991404142,0.008583484
0.166650293,0.037798199,0.140989855,0.996954527,0
0.166657546,0.007045606,0.276899577,0.99768408,0.002132153
0.166675955,0.048783104,0.269193545,0.911447776,0.086793736
0.166683942,0.004996285,0.133366636,0.982033219,0.017849158
0.166690634,0.004986077,0.083344267,0.998787874,0.000938716
0.166690943,1.624216088,2.17921394,0.973512841,0.025787341
0.166717005,0.011208869,0.034467464,0.996885645,0.001029848
0.166717054,0.000889289,0.295490445,0.999050359,0.000965113
0.166722628,0.013740573,0.197859638,0.996189492,0.003715311
0.16674071,0.001492424,0.205807452,0.999714168,0.000271159
0.166742052,0.089834516,0.178598003,0.902422605,0.09681981
0.166748327,0.000624749,0.154796058,0.998914696,0.001087534
0.166755217,0.942015412,1.436333975,0.988750269,1.08E-02
0.166766679,0.000392681,0.00883409,0.998294861,0.001709665
0.166767964,0.000997835,0.070584434,0.9981405,0.001875205
0.166779956,0.099142301,0.127900625,0.920607172,0.078380073
0.166781312,0.003384576,0.563150529,0.998352491,0.001646952
0.16678928,0.00034304,0.02750004,0.999484015,0.00052479
0.166790783,0.001143334,0.185972114,0.998894535,0.001110525
0.16679965,0.001744797,0.091272721,0.999220465,0.000775437
0.166813068,0.000434061,0.03126157,0.99931119,0.000677988
0.166814919,0.006830089,0.145744677,0.998129597,0.001681674
0.166817997,0.000639738,0.138011512,0.999498037,0.000516235
0.166821604,24.36718921,5.633398966,0,0.778096545
0.166827521,0.002313124,0.001408443,0.998256019,0.001360531
0.166828998,0.00153415,0.089986834,0.99975089,0.000193709
0.166831803,0.172121151,0.327557863,0.977367583,0.022258796
0.166838064,0.334103123,0.982708801,0.976949284,0.022839717
0.166845422,0.507367246,1.545577483,0.992634285,0.006938259
