Unit,Type,temperature,pressure
Beiya,col,683,80.3546525
Beiya,col,703,94.45424134
Beiya,col,679,73.05690757
Beiya,col,704,137.5429807
Beiya,col,703,104.2901348
Beiya,col,709,87.04254036
Beiya,col,673,87.47778606
Beiya,col,683,80.34937075
Zhunuo,col,731,94.83206552
Zhunuo,col,705,79.23193519
Zhunuo,col,750,122.5168371
Zhunuo,col,764,152.5501555
Zhunuo,col,755,120.9757219
Zhunuo,col,724,100.1980754
Zhunuo,col,732,181.6172545
Zhunuo,col,722,164.1258786
Zhunuo,col,721,162.7525789
Zhunuo,col,724,171.3026858
Zhunuo,col,727,162.2308169
Zhunuo,col,757,152.8328521
Zhunuo,col,748,144.0138285
Haftcheshmeh,col,780,139.4110588
Haftcheshmeh,col,787,144.2698741
Haftcheshmeh,col,790,151.951525
Haftcheshmeh,col,796,235.8029983
Haftcheshmeh,col,721,118.0997458
Haftcheshmeh,col,707,79.22239319
Chahfiruzeh,col,791,276.6177379
Chahfiruzeh,col,773,233.5225368
Chahfiruzeh,col,807,327.8244598
